appid,name,price,recommendations,metacritic,controller_support,developers,publishers,platforms_windows,platforms_mac,platforms_linux,release_date,minimum_req,recommended_req,categories,genres,header_image
3326530,My Taskbar Farm,Free,N/A,N/A,N/A,Rising Moon Games,Rising Moon Games,True,False,False,To be announced,"{'OS': 'Windows 11', 'Processor': '2.6 Ghz+', 'Memory': '8 GB RAM', 'DirectX': 'Version 9.0', 'Storage': '1 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Simulation', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3326530/header.jpg?t=1736151553
1440870,Corrupted Hospital : Part1,$2.99,N/A,N/A,N/A,MINO ENTERTAINMENT INC,MINO ENTERTAINMENT INC,True,False,False,"Oct 23, 2020","{'OS': 'Windows 10', 'Processor': 'Intel i5-4590 / AMD Ryzen 5 1500X or greater', 'Memory': '8 GB RAM', 'Graphics': 'NVIDIA GTX 1060 / AMD Radeon RX 480 or greater', 'DirectX': 'Version 11', 'Storage': '5 GB available space', 'VR Support': 'SteamVR. Standing or Room Scale'}","{'OS': 'Windows 10', 'Processor': 'Intel i7 8700k / AMD Ryzen 7 1800X or greater', 'Memory': '16 GB RAM', 'Graphics': 'NVIDIA GTX 1070 / AMD Radeon Vega 56 or greater', 'DirectX': 'Version 11', 'Storage': '6 GB available space'}","['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Action', 'Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1440870/header.jpg?t=1621524764
3492250,ULTRA X-TREME HUNTING SIMULATOR 2001,$2.99,N/A,N/A,N/A,Skeleton Crew,Skeleton Crew,True,False,False,"Feb 28, 2025","{'OS': 'Windows 10 or 11', 'Memory': '2 GB RAM', 'Graphics': '256MB', 'Storage': '1 GB available space'}","{'OS': 'Windows 10', 'Processor': '2GHz+', 'Memory': '3 GB RAM', 'Graphics': '512MB', 'Storage': '1 GB available space'}","['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Simulation', 'Sports']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3492250/header.jpg?t=1740757546
433580,Timelapse,$5.99,N/A,N/A,N/A,GTE Entertainment,Nightdive Studios,True,False,False,"Jan 21, 2016","{'OS *': 'Windows: XP / Vista / 7 / 8 / 10', 'Processor': '1.8 GHz Processor', 'Memory': '2 GB RAM', 'Graphics': '3D graphics card compatible with DirectX 9', 'Storage': '1500 MB available space'}",{},"['Single-player', 'Family Sharing']",['Adventure'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/433580/header.jpg?t=1569518076
1155850,Lost Viking: Kingdom of Women,Free,N/A,N/A,N/A,Forestlight Games,"Forestlight Games, Gaming Factory",True,False,False,Q3 2025,"{'OS *': 'Microsoft Windows 7/8/10 64-bit', 'Processor': 'Intel Core i3-2100 or equivalent', 'Memory': '4 GB RAM', 'Graphics': 'GTX 750 2GB or equivalent', 'DirectX': 'Version 11', 'Storage': '5 GB available space', 'Sound Card': 'DirectX compatible'}","{'OS *': 'Microsoft Windows 7/8/10 64-bit', 'Processor': 'Intel Core i5-4460 or equivalent', 'Memory': '8 GB RAM', 'Graphics': 'GTX 960 4GB or equivalent', 'DirectX': 'Version 11', 'Storage': '5 GB available space', 'Sound Card': 'DirectX compatible'}","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1155850/header.jpg?t=1739748940
2587960,Boing Odyssey,$4.99,N/A,N/A,N/A,Tuonele,Tuonele,True,True,True,"Feb 13, 2024","{'Processor': 'Intel or AMD Dual Core', 'Memory': '4 GB RAM', 'Graphics': 'GeForce GT 1030', 'Storage': '310 MB available space'}",{},"['Single-player', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",['Casual'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2587960/header.jpg?t=1707827167
2137620,Korean BBQ Simulator,$3.99,N/A,N/A,full,PSI Game Studio,PSI Game Studio,True,False,False,"Oct 13, 2022","{'OS *': 'Windows XP SP2+', 'Memory': '2 GB RAM', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '2 GB available space'}","{'OS': 'Windows 10', 'Memory': '4 GB RAM', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '2 MB available space'}","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Indie', 'Simulation', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2137620/header.jpg?t=1689783422
1961380,Taiga,$4.99,N/A,N/A,N/A,Ancient Beasts,Ancient Beasts,True,False,False,"Jun 20, 2022","{'OS *': 'Windows 7 or later', 'Processor': '2.6 GHz Quad Core or similar', 'Memory': '4 GB RAM', 'Graphics': 'GeForce GTX 950 or Radeon HD 7970', 'DirectX': 'Version 11', 'Storage': '9 GB available space', 'VR Support': 'OpenXR'}","{'OS *': 'Windows 7 or later', 'Processor': 'i5 3GHz or Ryzen 5 3GHz', 'Memory': '8 GB RAM', 'Graphics': 'GeForce GTX 1060 or Radeon RX 580', 'DirectX': 'Version 11', 'Storage': '9 GB available space'}","['Single-player', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Family Sharing']","['Action', 'Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1961380/header.jpg?t=1663963906
1593880,SPECTEARED,Free,N/A,N/A,N/A,Fimpossible Creations,Fimpossible Creations,True,False,False,To be announced,"{'OS *': 'Windows 7 or later', 'Processor': '2.6 GHz Quad Core or similar', 'Memory': '4 GB RAM', 'Graphics': 'GeForce GTX 950 or Radeon HD 7970', 'DirectX': 'Version 9.0', 'Storage': '2 GB available space'}","{'OS *': 'Windows 7 or later', 'Processor': 'i5 3GHz or Ryzen 5 3GHz', 'Memory': '8 GB RAM', 'Graphics': 'GeForce GTX 1060 or Radeon RX 580', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '2 GB available space'}","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Action', 'Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1593880/header.jpg?t=1688738343
2194980,Traveler's Bastion,Free,N/A,N/A,full,"Jerome Labelle, Simon Labelle",Honest Rogue Games,True,False,False,"Mar 10, 2023","{'OS *': 'Windows 7 and Above', 'Processor': '1.2 GHZ', 'Memory': '2 GB RAM', 'Graphics': '512 MB', 'DirectX': 'Version 10', 'Storage': '600 MB available space'}",{},"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Remote Play Together']","['Action', 'Casual', 'RPG', 'Strategy', 'Free To Play']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2194980/header.jpg?t=1719616456
1430100,Fade,$1.99,N/A,N/A,N/A,Azimyth Studios,Azimyth Studios,True,False,False,"Oct 29, 2020","{'OS *': 'Windows Vista', 'Processor': 'Intel Core 2 Duo 2.8Ghz or equivalent', 'Memory': '4 GB RAM', 'Graphics': 'GeForce 8800GT / ATI Radeon HD 4850', 'Storage': '6 GB available space'}",{},"['Single-player', 'Family Sharing']","['Indie', 'RPG']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1430100/header.jpg?t=1729550562
3352250,PENTALOOP  -ペンタループ-,Free,N/A,N/A,N/A,イバラユーギ×ひろゆ～プロジェクト,ひろゆ～,True,False,False,Coming soon,"{'OS': 'Windows 10 or 11 (64bit)', 'Processor': 'Intel Core i5-8250U', 'Memory': '8 GB RAM', 'Graphics': 'intel UHD graphics 620', 'Network': 'Broadband Internet connection'}",{},"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Family Sharing']","['Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3352250/header.jpg?t=1738179938
1942110,Bootstrap Island,$19.99,657,N/A,N/A,Maru VR Productions,Maru VR Productions,True,False,False,"Feb 22, 2024","{'OS': 'Windows 10', 'Processor': 'Intel i5-9600 / AMD Ryzen 3600x', 'Memory': '8 GB RAM', 'Graphics': 'Nvidia RTX 2070', 'Storage': '20 GB available space', 'VR Support': 'SteamVR or Oculus PC. Oculus Touch, Oculus Touch 2 or Valve Index controllers'}","{'OS': 'Windows 10', 'Processor': 'Intel i7-10700k / AMD Ryzen 5800x', 'Memory': '16 GB RAM', 'Graphics': 'Nvidia RTX 3080', 'Storage': '20 GB available space'}","['Single-player', 'Tracked Controller Support', 'VR Only', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1942110/984013ea5e91cb12d13eb406eadfe7a46f2516ec/header_alt_assets_1.jpg?t=1743594496
743130,MewnBase,$9.99,1269,N/A,N/A,Cairn4,Cairn4,True,False,True,"Oct 30, 2023","{'OS *': 'Windows 7+', 'Processor': '2.0 ghz Dual Core', 'Memory': '4 GB RAM', 'Graphics': 'Intel HD4000 or higher with OpenGL 2.1+', 'Storage': '200 MB available space', 'Sound Card': 'OpenAL supported sound card'}",{'Graphics': 'Anything faster than the Intel HD4000'},"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/743130/header.jpg?t=1698732681
1451420,Construction Playground,$9.99,N/A,N/A,N/A,Sunlight Games,Sunlight Games,True,False,False,"Dec 8, 2020","{'OS': 'Windows 10', 'Processor': 'Intel QuadCore i5-7400', 'Memory': '4 GB RAM', 'Graphics': 'Geforce 1050', 'Storage': '800 MB available space', 'VR Support': 'SteamVR', 'Additional Notes': 'SteamVR compatible VR-headset'}","{'OS': 'Windows 10', 'Processor': 'Intel QuadCore i5-7400', 'Memory': '8 GB RAM', 'Graphics': 'Geforce 1070', 'Storage': '800 MB available space', 'Additional Notes': 'SteamVR compatible VR-headset'}","['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Indie', 'Simulation', 'Strategy', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1451420/header.jpg?t=1725360031
