appid,name,price,recommendations,metacritic,controller_support,developers,publishers,platforms_windows,platforms_mac,platforms_linux,release_date,minimum_req,recommended_req,categories,genres,header_image
2999020,Finger Fury Showdown,$7.99,N/A,N/A,N/A,Brave Giant,Peaksel,True,True,False,"Aug 26, 2024","{'OS *': 'Windows 7, 8, 10', 'Processor': '2.0 GHz Dual Core', 'Memory': '2 GB RAM', 'Graphics': 'Integrated graphics or GPU with at least 512 MB of VRAM', 'DirectX': 'Version 9.0', 'Storage': '555 MB available space'}","{'OS *': 'Windows 7, 8, 10', 'Processor': '2.5 GHz Dual Core', 'Memory': '2 GB RAM', 'Graphics': 'Integrated graphics or GPU with at least 512 MB of VRAM', 'DirectX': 'Version 9.0', 'Storage': '1024 MB available space'}","['Single-player', 'Family Sharing']",['Action'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2999020/header.jpg?t=1724661842
2159500,PhaigeX: Hyperspace Survivors,$4.99,N/A,N/A,N/A,Traitorean Games,Traitorean Games,True,False,False,"Dec 7, 2024","{'OS *': 'Windows 8', 'Processor': 'Requires a 64-bit processor and operating system', 'Memory': '4 GB RAM', 'Graphics': 'GeForce 1050Ti', 'Storage': '1 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2159500/header.jpg?t=1738467787
2359910,Dragabox,Free,N/A,N/A,N/A,Deranged Octopus Athletics,Deranged Octopus Athletics,True,False,False,"Aug 2, 2023","{'OS *': 'Windows XP, Vista, 7, or later', 'Processor': '2 Ghz', 'Memory': '2 MB RAM', 'Graphics': '32 MB video memory', 'DirectX': 'Version 9.0', 'Storage': '300 MB available space', 'Sound Card': 'DirectX 9 compatible sound card or integrated sound chip'}","{'OS': 'Windows 10', 'Processor': '3.3 Ghz', 'Memory': '8 MB RAM', 'Graphics': '256 MB video memory', 'DirectX': 'Version 12', 'Storage': '300 MB available space', 'Sound Card': 'DirectX 9 compatible sound card or integrated sound chip'}","['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2359910/header.jpg?t=1690990940
2256100,Leap From Hell,$4.99,N/A,N/A,full,EpiXR Games UG,EpiXR Games UG,True,False,False,"Aug 4, 2023","{'OS': 'Win 10', 'Processor': 'Intel Core i5-4590 (AMD FX 8350) or better', 'Memory': '4 GB RAM', 'Graphics': 'NVIDIA GTX600', 'Storage': '2 GB available space', 'Sound Card': 'No specific requirements.'}","{'OS': 'Win 10', 'Processor': 'i7', 'Memory': '4 GB RAM', 'Graphics': 'NVIDIA GTX700', 'Storage': '2 GB available space', 'Sound Card': 'No specific requirements.'}","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Action', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2256100/header.jpg?t=1725288211
2283800,Fingerspelling Unleashed - BANZSL Edition,$1.99,N/A,N/A,N/A,CLICKBYTES,CLICKBYTES,True,False,False,"Feb 28, 2023","{'OS *': 'Windows 7/8/10/11 - 64bits', 'Processor': '2 GHz Intel Pentium 4 or AMD Athlon or equivalent', 'Memory': '2 GB RAM', 'Graphics': 'Intel HD Graphique', 'Storage': '150 MB available space', 'Sound Card': 'All'}",{},"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['Casual'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2283800/header.jpg?t=1702355294
1602750,Rise of the Atman,Free,N/A,N/A,N/A,Sephirsoft Interactive LLC,Sephirsoft Interactive LLC,True,False,False,Coming soon,"{'OS *': 'Windows 7, 8.1, 10 (64-bit Version)', 'Processor': 'Intel i5-750/AMD Phenom II X4-945', 'Memory': '8 GB RAM MB RAM', 'Graphics': 'NVIDIA GTX 470 1GB /AMD HD 7870 2GB', 'DirectX': 'Version 11'}","{'OS *': 'Windows 7, 8.1, 10 (64-bit Version)', 'Processor': 'Intel i5-2400/AMD FX-8320', 'Memory': '16 GB RAM MB RAM', 'Graphics': 'Nvidia GTX 1060 6GB / AMD RX580', 'DirectX': 'Version 11'}","['Single-player', 'Family Sharing']",['RPG'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1602750/header.jpg?t=1636187485
746540,Space Panic Defense,$1.99,N/A,N/A,N/A,Xefier Games Inc.,Xefier Games Inc.,True,True,True,"Nov 24, 2017","{'OS *': 'Windows XP SP4 or later', 'Processor': 'Intel i3 2.6Ghz or AMD equivalent', 'Memory': '2 GB RAM', 'Graphics': 'GeForce GTX 460 or AMD equivalent', 'DirectX': 'Version 9.0c', 'Storage': '1500 MB available space'}","{'OS *': 'Windows 7 SP1 or later', 'Processor': 'Intel i5 2.6Ghz or AMD equivalent', 'Memory': '4 GB RAM', 'Graphics': 'GeForce GTX 960 or AMD equivalent', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '1500 MB available space'}","['Single-player', 'In-App Purchases', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/746540/header.jpg?t=1516600374
3437060,Black Fairy Tale,$1.99,N/A,N/A,N/A,套鹿工作室,寻鹿计划,True,False,False,"Feb 10, 2025","{'OS *': 'Windows 7 or later', 'Processor': 'Intel Core i3-3240 (2 * 3400); AMD FX-4300 (4 * 3800)', 'Memory': '8 GB RAM', 'Graphics': 'GeForce GTX 560 Ti (1024 VRAM); Radeon HD 7750 (1024 VRAM)', 'DirectX': 'Version 11', 'Storage': '512 MB available space'}","{'OS': 'Windows 10', 'Processor': 'Intel Core i5-3470', 'Memory': '32 GB RAM', 'Graphics': 'GeForce GTX 1050 (2048 VRAM); Radeon R9 380 (2048 VRAM)', 'DirectX': 'Version 11', 'Storage': '1 GB available space'}","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3437060/header.jpg?t=1739237715
2085360,Insomnia: Theater in the Head,$2.49,2350,N/A,N/A,Perfect Day Studio,Perfect Day Studio,True,True,False,"Dec 15, 2022","{'OS *': 'Windows 7,8,10 or later', 'Processor': 'Intel Core i3 2.00 GHz', 'Memory': '2 GB RAM', 'Graphics': 'Intel® HD Graphics 3000', 'Storage': '2 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2085360/header.jpg?t=1727086580
1111130,Song of a Spirit,$19.99,N/A,N/A,N/A,Eisenstadt Studio,Eisenstadt Studio,True,False,False,"Jul 13, 2019","{'OS *': 'Windows 7 SP1', 'Processor': 'Core 2 Quad q8300', 'Memory': '8 GB RAM', 'Graphics': 'GTX 750', 'Storage': '300 MB available space'}",{},"['Single-player', 'Family Sharing']","['Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1111130/header.jpg?t=1697847766
598240,Stupid Raft Battle Simulator,$5.99,N/A,N/A,N/A,CREATIV GAME DEVELOPER LLC.,CREATIV GAME DEVELOPER LLC.,True,True,True,"Feb 23, 2017","{'OS *': 'Windows 7', 'Processor': '2+ Ghz Intel/AMD Dual core or better', 'Memory': '4 GB RAM', 'Graphics': 'Intel hd 5500 or better', 'Network': 'Broadband Internet connection', 'Storage': '2 GB available space'}",{},"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/598240/header.jpg?t=1506585962
1374810,Ghost Knight: A Dark Tale,Free,N/A,N/A,full,"Grimware Games, LLC","Grimware Games, LLC",True,False,False,Coming soon,{'OS': 'Windows 10'},{},"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Action', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1374810/header.jpg?t=1737147193
3316930,Just Up,Free,N/A,N/A,N/A,Omar Alarcon,WolfDev,True,False,False,Coming soon,"{'OS': 'Windows 10', 'Processor': 'Dual Core 2.66GHz (64 bit)', 'Memory': '2 GB RAM', 'Graphics': 'Radeon HD 7770, GeForce GTX 460 or better', 'DirectX': 'Version 11', 'Storage': '1 GB available space', 'Sound Card': 'Windows Compatible Sound Card', 'Additional Notes': 'Requirements may change as development furthers'}","{'OS': 'Windows 10', 'Processor': 'Intel Core i5 4570', 'Memory': '4 GB RAM', 'Graphics': 'Radeon HD 7770, GeForce GTX 460 or better', 'DirectX': 'Version 11', 'Storage': '2 GB available space', 'Sound Card': 'Windows Compatible Sound Card', 'Additional Notes': 'Requirements may change as development furthers'}","['Single-player', 'Family Sharing']","['Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3316930/header.jpg?t=1732633721
1639580,A Warmer Shade of Summer,Free,N/A,N/A,N/A,52.6 Productions,52.6 Productions,True,False,False,"Jun 3, 2021",{'Additional Notes': 'Any device capable of singeing toast'},{'Additional Notes': 'Any device capable of burning toast'},['Single-player'],"['Casual', 'Free To Play', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1639580/header.jpg?t=1624777777
710760,High Noon VR,$9.99,N/A,N/A,N/A,OctoBox Interactive,Buka Entertainment,True,False,False,"Nov 14, 2017","{'OS *': 'Windows™ (7 SP1, 8.1, 10)', 'Processor': 'Intel™ Core™ i5-4590 / AMD FX™ 8350 or better', 'Memory': '4 GB RAM', 'Graphics': 'NVIDIA GeForce™ GTX 1060 / AMD Radeon™ RX 480 or better', 'DirectX': 'Version 10', 'VR Support': 'SteamVR or Oculus PC. Standing or Room Scale', 'Additional Notes': 'HTC Vive, Oculus Rift (1x HDMI 1.4 port,  DisplayPort 1.2)'}",{},"['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Action', 'Adventure', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/710760/header.jpg?t=1585236987
3607370,The Last Oath,Free,N/A,N/A,N/A,"Final Offer, Spocx",Final Offer,True,False,False,"Apr 10, 2025","{'OS': 'windows 10', 'Processor': 'Intel Core 2 Duo E8200, AMD Athlon XE BE-2300, Snapdragon X Elite', 'Memory': '4 GB RAM MB RAM', 'Graphics': 'Intel HD Graphics 5500 (Broadwell), AMD Radeon R5 Graphics (Kaveri)', 'Storage': '200 MB available space'}",{},"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Adventure', 'Casual', 'Indie', 'Free To Play']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3607370/ac927575cc05287d0792d5bb9f5ba5d8d8fbf86c/header.jpg?t=1744279464
3158950,Labyrinth Of Shadows,$5.99,N/A,N/A,N/A,Wyatt Scott,Wyatt Scott,True,True,False,"Sep 6, 2024","{'OS *': 'OS: Windows 7/8/10/11', 'Processor': 'Dual-core CPU @ 2.0 GHz or higher', 'Memory': '1 GB RAM', 'Graphics': 'NVIDIA GeForce 8 series / AMD Radeon HD 2000 series / Intel HD Graphics (1st Gen) or equivalent with OpenGL 3.3 support', 'Storage': '200 MB available space'}","{'OS': 'Windows 10/11', 'Processor': 'Quad-core CPU @ 3.0 GHz or higher', 'Memory': '2 GB RAM', 'Graphics': 'GPU: NVIDIA GeForce GTX 660 / AMD Radeon HD 7870 / Intel Iris Pro Graphics 5200 or equivalent with OpenGL 4.0 support', 'Storage': '500 MB available space'}","['Single-player', 'Family Sharing']","['Adventure', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3158950/header.jpg?t=1739648963
3194080,Calvar - The Darkest Gate,Free,N/A,N/A,full,Calvar-Games,Calvar-Games,True,False,False,2025,"{'OS': 'Windows 10 / 11', 'Processor': 'AMD Ryzen 2700x / Intel Corei5-7600k', 'Memory': '8 GB RAM', 'Graphics': 'AMD Radeon RX Vega / Nvidia RTX 2060', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '22 GB available space'}","{'OS': 'Windows 10 / 11', 'Processor': 'Amd Ryzen 3600 / Intel Core I5-9600k or newer', 'Memory': '16 GB RAM', 'Graphics': 'AMD Radeon 5700 XT / Nvidia RTX 3060 or newer', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '22 GB available space'}","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3194080/136fd207701b1bb31c24fc05fecc2002c9e30a3d/header.jpg?t=1743385337
2352670,Arcadium - Space Odyssey,Free,N/A,N/A,full,Luciano Bercini,Luciano Bercini,True,False,False,Coming soon,"{'OS': 'Windows 10', 'Processor': 'Dual Core CPU', 'Memory': '4 GB RAM', 'Graphics': '1GB VRAM', 'Storage': '300 MB available space'}",{},"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2352670/header.jpg?t=1742870816
1690500,Meteor Storm,$4.99,N/A,N/A,N/A,Z Sculpt Entertainment,Z Sculpt Entertainment,True,True,False,"Aug 2, 2021","{'OS': 'Windows 10', 'Processor': 'i5', 'Memory': '4 GB RAM', 'Graphics': 'Intel Integrated', 'Storage': '250 MB available space', 'Sound Card': 'Any'}","{'OS': 'Windows 10', 'Processor': 'i5', 'Memory': '4 GB RAM', 'Graphics': 'Intel Integrated', 'Storage': '250 MB available space', 'Sound Card': 'Any'}","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together', 'Family Sharing']","['Action', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1690500/header.jpg?t=1627922707
508410,SKIPCHASER,$4.99,N/A,N/A,N/A,Ponywolf,"Ponywolf, LLC",True,True,False,"Jun 4, 2018","{'OS *': 'Windows 10, Windows 8, Windows 7, Vista, or XP Service Pack 3', 'Processor': '1 GHz', 'Memory': '1 GB RAM', 'Graphics': 'OpenGL 2.1 or higher (available in most modern Windows systems)', 'Storage': '100 MB available space'}","{'OS': 'Windows 10', 'Processor': '1.5 GHz processor', 'Memory': '2 GB RAM', 'Graphics': 'OpenGL 2.1 or higher (available in most modern Windows systems)', 'Storage': '100 MB available space'}","['Single-player', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Indie', 'RPG']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/508410/header.jpg?t=1575410178
2091930,2MD:VR Football Unleashed ALL✰STAR,$14.99,N/A,N/A,N/A,"Truant Pixel, LLC","Truant Pixel, LLC",True,False,False,"Sep 20, 2022","{'OS': '10', 'Processor': '64-bit', 'Memory': '8 GB RAM', 'Graphics': 'Discrete VR-capable graphics card recommended', 'DirectX': 'Version 11', 'Storage': '5 GB available space', 'VR Support': 'SteamVR or OpenXR'}",{},"['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Indie', 'Simulation', 'Sports']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2091930/header.jpg?t=1663676536
3470560,Millennium Dream,Free,N/A,N/A,N/A,LucidDreamLab,LucidDreamLab,True,False,False,Coming soon,"{'OS': 'Windows 10 or newer', 'Processor': 'Intel i5 or AMD Ryzen 5 from around 2016 or later', 'Memory': '8 GB RAM', 'Graphics': 'NVIDIA GTX 1060 or AMD Radeon RX 580 or newer', 'Storage': '20 GB available space'}","{'OS': 'Windows 10 or newer', 'Processor': 'Intel i5 or AMD Ryzen 7 from 2018 or later', 'Memory': '16 GB RAM', 'Graphics': 'NVIDIA GeForce RTX 3060 or AMD Radeon RX 6700 XT or newer', 'Storage': '20 GB available space'}","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3470560/header.jpg?t=1743748133
1104030,Vermin Hunter,$2.99,N/A,N/A,full,Inturn Games,Inturn Games,True,False,False,"Oct 25, 2019","{'OS': 'Windows 10', 'Memory': '4 GB RAM', 'DirectX': 'Version 11', 'Storage': '9 GB available space'}","{'OS': 'Windows 10 64-bit', 'Memory': '8 GB RAM', 'DirectX': 'Version 11', 'Storage': '9 GB available space'}","['Single-player', 'Full controller support', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1104030/header.jpg?t=1667509087
467370,Escape This,$0.99,129,N/A,N/A,Four Winged Studio,Conglomerate 5,True,True,False,"May 4, 2016","{'OS *': 'Windows 7,8,10', 'Processor': 'AMD FX 6300', 'Memory': '500 MB RAM', 'Graphics': 'GTX 750TI', 'DirectX': 'Version 11', 'Storage': '60 MB available space'}","{'OS *': 'Windows 7,8,10', 'Processor': 'Intel Core i5 6600K', 'Memory': '700 MB RAM', 'Graphics': 'GTX 950', 'DirectX': 'Version 11', 'Storage': '60 MB available space'}","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/467370/header.jpg?t=1715044788
2242220,Forest Fire,$5.99,N/A,N/A,full,Chute Apps,Chute Apps,True,True,True,"May 3, 2023","{'OS': 'Windows 10 or later', 'Processor': 'Quad core Intel or better', 'Memory': '8 GB RAM', 'Graphics': 'Must support Shader Model 5.0+ and DX11', 'DirectX': 'Version 11', 'Storage': '1 GB available space'}","{'OS': 'Windows 10 or later', 'Processor': 'i7 or better', 'Memory': '8 MB RAM', 'Graphics': 'Dedicated graphics card', 'DirectX': 'Version 12', 'Storage': '1 MB available space'}","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",['Action'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2242220/header.jpg?t=1726370944
760240,Mysterious insects,Free,N/A,N/A,N/A,Conversations Games,Conversations Games,True,False,False,Coming soon,"{'OS *': 'Windows 7 and higher', 'Processor': 'Intel Pentium and higher', 'Memory': '256 MB RAM', 'Storage': '150 MB available space'}",{},"['Single-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/760240/header.jpg?t=1518773913
3057180,Abnormal1999:Sector 49,$2.99,139,N/A,N/A,QZQ Studio,QZQ Studio,True,False,False,"Jul 26, 2024","{'OS': 'Windows 10 or higher', 'Processor': 'Intel Core i5-2500K or AMD Athlon X4 740 (or equivalent)', 'Memory': '8 GB RAM', 'Graphics': 'GeForce GTX 660 (2048 MB) or Radeon R9 285 (2048 MB) - Integrated GPUs may work but are not supported.', 'DirectX': 'Version 11', 'Storage': '20 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",['Adventure'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3057180/header.jpg?t=1722661183
1993900,Not Your Mama's Autobattler,$14.99,N/A,N/A,N/A,Ancient Empire Games LLC.,Ancient Empire Games LLC.,True,False,False,"Oct 11, 2022","{'OS': 'Windows 10', 'Processor': 'Intel® Core™ i5', 'Memory': '8 GB RAM', 'Graphics': 'GeForce GTX 10 Series', 'DirectX': 'Version 10', 'Network': 'Broadband Internet connection', 'Storage': '2 GB available space'}","{'OS': 'Windows 10', 'Processor': 'Intel® Core™ i5', 'Memory': '16 GB RAM', 'Graphics': 'GeForce GTX 20 Series', 'DirectX': 'Version 10', 'Network': 'Broadband Internet connection', 'Storage': '2 GB available space'}","['Multi-player', 'PvP', 'Online PvP', 'Family Sharing']",['Indie'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1993900/header.jpg?t=1665500799
2006460,Ball With Pistons,$6.99,N/A,N/A,N/A,Kushikuu,Kushikuu,True,False,False,"Jun 16, 2022","{'OS': 'Windows 10', 'Processor': 'Intel® Core™ i5-3470', 'Memory': '8 GB RAM', 'Storage': '2 GB available space'}",{},"['Single-player', 'Family Sharing']","['Action', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2006460/header.jpg?t=1655443895
2184350,Guild Saga: Vanished Worlds,$19.99,199,N/A,N/A,Ocelot,Ocelot,True,False,False,"Oct 10, 2024","{'OS': 'Windows 10+', 'Processor': 'Intel Core i5', 'Memory': '4 GB RAM', 'Graphics': '4GB VRAM', 'DirectX': 'Version 11', 'Storage': '8 GB available space', 'Additional Notes': 'Minimum requirements are subject to change.'}","{'OS': 'Windows 10+', 'Processor': 'Intel Core i7', 'Memory': '6 GB RAM', 'Graphics': '8GB VRAM', 'DirectX': 'Version 11', 'Storage': '10 GB available space', 'Additional Notes': 'Recommended requirements are subject to change.'}","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2184350/header.jpg?t=1728749387
1316560,Otaku's Rage: Waifu Strikes Back,$1.99,233,N/A,N/A,"Feodosiy, Mensh",Feodosiy,True,False,False,"Feb 23, 2021","{'OS *': 'Windows 7,8,10', 'Processor': 'Intel Core2DUO 2GHz', 'Memory': '4 GB RAM', 'Graphics': 'Intel HD Graphics Series. 1280x720 or better required', 'Storage': '600 MB available space', 'Sound Card': 'Sound Devices compartible Direct Sound'}",{},"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1316560/header.jpg?t=1667149157
2546350,Fair and Square,$5.59,N/A,N/A,N/A,Octopus Engine,Octopus Engine,True,False,True,"Jun 20, 2024","{'OS': 'Windows 10+', 'Processor': 'Intel i7 3630QM CPU @2.40Ghz or equivalent', 'Memory': '8 GB RAM', 'Graphics': 'GTX 660M or more', 'Storage': '500 MB available space'}",{},"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Family Sharing']",['Strategy'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2546350/header.jpg?t=1718901278
3165130,SLIME ORDER,$0.99,N/A,N/A,N/A,かべろくん,かべろくん,True,False,False,"Aug 28, 2024","{'OS': 'Windows10,Windows11'}",{},"['Single-player', 'Family Sharing']",['Casual'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3165130/header.jpg?t=1724841692
344190,Immortal Empire,Free,N/A,N/A,N/A,Tactic Studios Inc.,Tactic Studios Inc.,True,False,False,"Dec 3, 2015","{'OS': 'XP', 'Processor': 'Intel Core 2 Duo or equivalent', 'Memory': '2 GB RAM', 'Graphics': 'NVidia GTX 650 (1GB memory)', 'DirectX': 'Version 9.0', 'Network': 'Broadband Internet connection', 'Storage': '768 MB available space'}","{'OS': '7 or Higher', 'Processor': 'Intel i7 Quad core 3.0 GHz or greater', 'Memory': '4 GB RAM', 'Graphics': 'NVidia GTX 750 (2GB memory)', 'DirectX': 'Version 9.0', 'Network': 'Broadband Internet connection', 'Storage': '768 MB available space'}","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","['Free To Play', 'Indie', 'RPG', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/344190/header.jpg?t=1602706019
2324500,Tank Online: War Shooting Simulator,$0.99,N/A,N/A,N/A,"Yusuf Islam Seyhan, Samet Acar",Inspector Studios,True,False,False,"Mar 7, 2023","{'OS *': 'Windows 8', 'Processor': 'Intel i5-2550K, 3.4 GHz', 'Memory': '2 GB RAM', 'Graphics': 'GeForce GTX 670 / Radeon HD 7950', 'Storage': '650 MB available space'}","{'OS': 'Windows 10 x64', 'Processor': 'Intel Core i7-3770, 3.4 GHz', 'Memory': '4 GB RAM', 'Graphics': 'GeForce GTX 970 or GeForce GTX 1060 / Radeon R9 290X or Radeon RX 480', 'Storage': '650 MB available space'}","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Family Sharing']","['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2324500/header.jpg?t=1678186878
981440,The Great Emu War Of 1932,$4.99,N/A,N/A,N/A,HoneyBeeSoftware,HoneyBeeSoftware,True,False,False,"Feb 25, 2019","{'OS *': 'Windows 7', 'Processor': 'Intel i5, 2.8+ GHZ', 'Memory': '8 GB RAM', 'Graphics': 'NVIDIA GTX 570, AMD Radeon 6870, or equivalent', 'DirectX': 'Version 10', 'Storage': '4 GB available space'}","{'OS *': 'Windows 7', 'Processor': 'Intel i5, 2.8+ GHZ', 'Memory': '12 GB RAM', 'Graphics': 'NVIDIA GTX 570, AMD Radeon 6870, or equivalent', 'DirectX': 'Version 10', 'Storage': '6 GB available space'}","['Single-player', 'Family Sharing']",['Indie'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/981440/header.jpg?t=1590596395
1605720,Eternia: Pet Whisperer,$2.99,N/A,N/A,N/A,Shirakumo Games,Shirakumo Games,True,True,True,"May 5, 2021","{'OS': 'Windows 10', 'Processor': 'Intel i5', 'Memory': '1 GB RAM', 'DirectX': 'Version 10', 'Storage': '100 MB available space'}","{'OS': 'Windows 10', 'Processor': 'Intel i7', 'Memory': '2 GB RAM', 'DirectX': 'Version 10', 'Storage': '100 MB available space'}","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1605720/header.jpg?t=1728071251
2177640,Rebels - Under the Spell of Magic (Chapter 3),$10.99,N/A,N/A,N/A,BrotherWood Games,BrotherWood Games,True,False,False,"Feb 26, 2023","{'OS *': 'Windows 7 (32bit)', 'Processor': 'Intel Core2 Duo', 'Memory': '8 GB RAM', 'Graphics': 'DirectX 9', 'DirectX': 'Version 9.0c', 'Storage': '4 GB available space', 'Additional Notes': '1366x768 or better Display'}",{},"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Casual']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2177640/header.jpg?t=1677403325
2356810,Tales Of Shadowland,Free,N/A,N/A,N/A,Uzmi Games,Uzmi Games,True,False,False,Coming soon,"{'OS': 'Windows® 10 64-bit', 'Processor': 'Intel® Core™ i3-4160 / AMD CPU with 4 physical cores @ 3Ghz', 'Memory': '4 GB RAM', 'Graphics': 'GTX 1070', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '50 GB available space', 'Additional Notes': 'Internet connection required to play.'}","{'OS': 'Windows® 10 64-bit', 'Processor': 'Intel® Core™ i5-7400 / AMD Ryzen 5 1600', 'Memory': '8 GB RAM', 'Graphics': 'RTX 2060', 'DirectX': 'Version 12', 'Network': 'Broadband Internet connection', 'Storage': '50 GB available space', 'Additional Notes': 'Internet connection required to play.'}","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']","['Adventure', 'Massively Multiplayer', 'RPG']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2356810/header.jpg?t=1722030287
